Profile Name,Channel,Campaign Name,Ad Group,Keyword,Match Type,Keyword Status,Bid,Quality Score,Impressions,Clicks,Conversions,Cost,Avg CPC,Revenue,Avg Pos.
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,5 star hotel,Phrase,Active,1.6,0,28798,121,0,209.3,1.7,0,4.4
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,5 star hotel,Phrase,Active,1.1,3,19103,209,0,663.62,2.7,0,5.3
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,5 star hotels,Phrase,Active,1.1,0,32080,255,0,587.34,2,0,4.4
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,5 star hotels,Phrase,Active,2.2,2.7,207708,3061,21,7979.1,2.3,9232.6,4.7
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,anniversary getaway,Phrase,Active,2.5,0,2722,15,0,16.71,1,0,2.7
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,anniversary getaway,Phrase,Active,2,3,1208,9,0,17.38,1.5,0,6.5
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,book hotel,Phrase,Active,2.2,0,32660,79,1,115.8,1.3,106.7,3.6
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,book hotel,Phrase,Active,1.9,2.9,2503,3,0,5.4,2.1,0,7.9
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,couples getaway,Phrase,Active,2.8,0,3378,10,0,17.19,1.7,0,3.5
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,couples getaway,Phrase,Active,2.4,2.8,571,5,0,16.42,2.9,0,8.1
Gotham Stay,bing,LOC-non-Gotham - Locations,Downtown Gotham,downtown Gotham,Exact,Active,1.9,0,36,0,0,0,0,0,1.2
Gotham Stay,Google,TOL LOC-non-Gotham - Locations,Downtown Gotham,downtown Gotham,Exact,Active,0.8,4.5,91,1,0,0.6,0.6,0,1
Gotham Stay,Google,LOC-non-Gotham - Locations,Downtown Gotham,downtown Gotham,Exact,Active,1.5,3.1,152,9,0,1.44,0.2,0,0.9
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,family friendly hotel,Phrase,Active,3.7,0,1836,11,0,6.33,0.5,0,2.9
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,family friendly hotel,Phrase,Active,2.2,1.8,1689,5,0,6.61,1.5,0,4.8
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,family hotels,Phrase,Active,2.5,0,8517,35,0,65.94,1.7,0,4.3
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,family hotels,Phrase,Active,1.3,2.6,8636,44,0,127.53,2.4,0,6.8
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,family vacations,Phrase,Active,1.7,0,197128,471,0,706.87,1.5,0,7.1
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,family vacations,Phrase,Active,2.4,1.9,1003,1,0,2.09,1.7,0,5.7
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,find hotel,Phrase,Active,1.8,0,17757,95,2,163.24,1.6,494.7,3.9
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,find hotel,Phrase,Active,2,3,3944,18,0,51.85,2.8,0,7.5
Gotham Stay,bing,Gen - Best Keywords,Top_Keywords_Phrase,find hotels,Phrase,Active,2.4,0,16798,44,0,71.24,1.8,0,4.5
Gotham Stay,Google,Gen - Best Keywords,Top_Keywords_Phrase,find hotels,Phrase,Active,2.1,2.8,3601,12,0,35.43,2.3,0,6.8
Gotham Stay,Google,Gen - PV - Brand Video 2012,elite Passport,elite passport,Phrase,Active,3,9.3,37,0,0,0,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,elite passport Gotham,Exact,Active,0.9,0,881,39,2,6.9,0.1,327.9,0.9
